Merchant Number - Business Name,Transaction Date,Terminal ID,System Batch Number,Device Batch Number,Request Amount,Settle Amount,Card Number,Card Product,Ext Card Type,Auth Code,System Trace Audit Number,Retrieval Reference,Message Type,Transaction Type,Extended Transaction Type,Transaction Paid,Pos Entry Mode,Device Serial,store,Batch Screening Status,Transaction Screening Status,Date Payment Extract,UTI,Online Reference Number,Issuing Bank,BIN,Processing,Product Type,Decline Reason
M001 - Merchant Alpha Cafe,2025-05-23T22:11:35,TID7964,68910,4949,236.74,0.0,506205******9755,Mastercard,Debit,,100000,679478608071,Financial,Purchase,Contactless,No,Contactless,DS-0001,Store F,Pass,Pass,,UTI-4A4CD9BE3FAD,ONR-5DECCCDB30,Nedbank,506205,Offline,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-08-03T19:15:35,TID1574,87245,8447,583.08,-583.08,517730******9706,Mastercard,Debit,275174.0,100001,714744057917,Financial,Refund,Contactless,Yes,Contactless,DS-0001,Store H,Fail,Pass,2025-08-04,UTI-91B50EA51109,ONR-DBA166399E,African Bank,517730,Offline,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-06-18T05:36:35,TID1687,52259,8160,157.2,157.2,416432******5644,Visa,Credit,491694.0,100002,448730541126,Financial,Purchase,Swipe,Yes,Swipe,DS-0001,Store G,Pass,Pass,2025-06-20,UTI-AB6AFE33008F,ONR-7C316A8974,Capitec,416432,Online,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-07-27T07:59:35,TID1066,81715,8081,233.54,233.54,547275******4588,Mastercard,Debit,203076.0,100003,671246487999,Financial,Purchase,Swipe,Yes,Chip+PIN,DS-0001,Store C,Pass,Pass,2025-07-27,UTI-4A8858BD7C3C,ONR-77DA18F9D0,Standard Bank,547275,Online,Debit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-05-18T15:58:35,TID4127,49304,9843,622.62,622.62,429802******8215,Visa,Credit,996495.0,100004,465748175295,Financial,Purchase,Contactless,Yes,Chip+PIN,DS-0001,Store A,Pass,Pass,2025-05-19,UTI-829522DF7215,ONR-8F946F2572,ABSA,429802,Offline,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-07-24T07:58:35,TID7500,72708,5156,430.07,430.07,495914******6962,Visa,Credit,371360.0,100005,965707898093,Financial,Purchase,Contactless,Yes,Chip+PIN,DS-0001,Store C,Pass,Pass,2025-07-25,UTI-163D3112E010,ONR-99E8755227,TymeBank,495914,3DS,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-08-11T02:50:35,TID3371,80086,3349,558.61,558.61,477200******4469,Visa,Credit,516884.0,100006,782667576850,Financial,Purchase,Contactless,Yes,Chip+PIN,DS-0001,Store J,Pass,Pass,2025-08-13,UTI-434429DBEA8D,ONR-635CF08D20,Standard Bank,477200,Offline,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-05-24T09:57:35,TID6847,66586,1759,290.06,290.06,470141******3298,Visa,Credit,628879.0,100007,631823942332,Financial,Purchase,Chip,Yes,Chip+PIN,DS-0001,Store B,Fail,Pass,2025-05-25,UTI-47DE4CD8F56B,ONR-E371297095,Nedbank,470141,Online,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-07-25T08:07:35,TID1584,17445,3482,346.16,346.16,544915******5421,Mastercard,Credit,427310.0,100008,906544694654,Financial,Purchase,Ecommerce,Yes,Chip+PIN,DS-0001,Store E,Pass,Pass,2025-07-27,UTI-2BB7F4AFBED9,ONR-7FA54BF5C5,Standard Bank,544915,Online,Credit,00 - Approved or completed successfully
M001 - Merchant Alpha Cafe,2025-05-26T14:11:35,TID3530,31948,6934,982.12,982.12,597316******9159,Mastercard,Credit,599366.0,100009,957609455561,Financial,Purchase,Chip,Yes,Chip+PIN,DS-0001,Store B,Pass,Pass,2025-05-28,UTI-1AB701ED72E6,ONR-68A957EDC5,African Bank,597316,Online,Credit,00 - Approved or completed successfully
